px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	v_true	yaw_angle_true	yaw_rate_true	vx_true	vy_true	NIS
174.671	33.4388	2.76918	0.384353	0.0322391	174.643	33.4625	174.685	33.4095	2.7344	0.35886	0	2.56021	0.960341	0.936651	0
174.649	33.4358	2.71186	0.386035	0.0342774	174.474	33.9157	174.685	33.4095	2.7344	0.35886	0	2.56021	0.960341	0	0.117448
177.039	34.2197	2.54009	0.318164	-0.0282786	177.03	34.2009	177.261	34.3262	2.66297	0.324924	0	2.52363	0.850119	0.262508	0
177.056	34.2226	2.55311	0.31645	-0.0294238	177.211	33.8467	177.261	34.3262	2.66297	0.324924	0	2.52363	0.850119	0	0.0938193
180.07	35.1244	3.31254	0.268442	-0.0413649	180.145	35.1423	179.799	35.1289	2.58492	0.287492	0	2.47883	0.732949	2.48874	0
179.937	35.0984	2.76381	0.281683	-0.0273212	179.543	35.4767	179.799	35.1289	2.58492	0.287492	0	2.47883	0.732949	0	3.78969
182.594	35.7561	2.80254	0.221619	-0.0471591	182.599	35.753	182.292	35.8114	2.50102	0.246937	0	2.42515	0.611338	0.0215656	0
182.497	35.7366	2.54935	0.225276	-0.0441175	182.047	36.2626	182.292	35.8114	2.50102	0.246937	0	2.42515	0.611338	0	2.0028
184.752	36.4991	2.39419	0.320279	0.0409516	184.732	36.5155	184.73	36.37	2.41212	0.203666	0	2.36226	0.487877	0.382245	0
184.742	36.4986	2.29436	0.322892	0.0441958	184.833	36.1451	184.73	36.37	2.41212	0.203666	0	2.36226	0.487877	0	0.105229
186.939	36.9633	2.27706	0.206257	-0.0521633	186.946	36.9404	187.103	36.804	2.3191	0.158109	0	2.29017	0.365145	0.358186	0
